moji,name,name-ja,category,unicode,attribution,alts/0,alts/1,url,alto/0,emoticon,contributor,1: :name:
🌀,cyclone,台風,nature,1f300,Sébastien Hut,,,,,,,2: :cyclone:
🌈,rainbow,虹,nature,1f308,,,,,,,,3: :rainbow:
🌌,milky_way,天の川,cosmos,1f30c,Jonah Libster,,,,,,,4: :milky_way:
🌑,new_moon,新月,cosmos,1f311,,,,,,,,5: :new_moon:
🌓,first_quarter_moon,上弦の月,cosmos,1f313,,,,,,,,6: :first_quarter_moon:
🌔,waxing_gibbous_moon,やや欠け月,cosmos,1f314,,,,,,,,7: :waxing_gibbous_moon:
🌕,full_moon,満月,cosmos,1f315,,,,,,,,8: :full_moon:
🌗,last_quarter_moon,下弦の月,cosmos,1f317,,,,,,,,9: :last_quarter_moon:
🌙,crescent_moon,三日月,cosmos,1f319,,,,,,,,10: :crescent_moon:
🌠,shooting_star,流れ星,cosmos,1f320,,,,,,,,11: :shooting_star:
🌛,moon_with_face,顔月,cosmos,1f31b,,,,,,,,12: :moon_with_face:
🌟,glowing_star,輝く星,cosmos,1f31f,,,,,,,,13: :glowing_star:
🌵,cactus,サボテン,nature,1f335,xfer,,,,,,,14: :cactus:
🍊,tangerine,みかん,food,1f34a,Lunasea Studios,,,,,,,15: :tangerine:
🍔,hamburger,ハンバーガー,food,1f354,,,,,,,,16: :hamburger:
🍕,pizza,ピザ,food,1f355,,,,,,,,17: :pizza:
🍙,rice_ball,おにぎり,food,1f359,,,,,,,,18: :rice_ball:
🍥,fish_cake_with_swirl_design,なると,food,1f365,anonymous,naruto,,,,,,19: :fish_cake_with_swirl_design:
🍰,cake,ケーキ,food,1f370,,,,,,,,20: :cake:
🍱,bento_box,お弁当,food,1f371,Matthew Ender,,,,,,,21: :bento_box:
🍹,tropical_drink,トロピカルドリンク,food,1f379,Jorge Lugo,,,,,,,22: :tropical_drink:
🍺,beer_mug,ビールジョッキ,food,1f37a,Evereq,,,,,,,23: :beer_mug:
🎃,jack_o_lantern,ジャック・オ・ランタン,object,1f383,Noah Greenstein,,,,,,,24: :jack_o_lantern:
🎤,microphone,マイク,object,1f3a4,Letia Nichols,,,,,,,25: :microphone:
🎮,video_game,ゲームコントローラー,object,1f3ae,Joel Thoms,,,,,,,26: :video_game:
🎸,guitar,ギター,object,1f3b8,barakmich,,,,,,,27: :guitar:
🎾,tennis_racquet_and_ball,テニスラケットとボール,object,1f3be,Pat May,,,http://www.maycoworld.net,,,,28: :tennis_racquet_and_ball:
🏂,snowboarder,スノーボード,people,1f3c2,Bas Kok,,,,,,,29: :snowboarder:
🏩,love_hotel,ラブホテル,places,1f3e9,doomcup,,,,,,,30: :love_hotel:
🐌,snail,カタツムリ,nature,1f40c,,,,,,,,31: :snail:
🐍,snake,ヘビ,nature,1f40d,,,,,,,,32: :snake:
🐔,chicken,ニワトリ,nature,1f414,Daniel Devine,,,,,,,33: :chicken:
🐗,boar,イノシシ,nature,1f417,,,,,,,,34: :boar:
🐘,elephant,ゾウ,nature,1f418,,,,,,,,35: :elephant:
🐙,octopus,タコ,nature,1f419,Antón Campos,,,,,,,36: :octopus:
🐡,blowfish,フグ,nature,1f421,Rompcat,,,,pufferfish,,,37: :blowfish:
🐣,hatching_chick,ヒヨコ,nature,1f423,Dmitry Pashkevich,,,,,,,38: :hatching_chick:
🐧,penguin,ペンギン,nature,1f427,Sebastian Schauenburg,,,,,,,39: :penguin:
🐨,koala,コアラ,nature,1f428,,,,,,,,40: :koala:
🐫,bactrian_camel,フタコブラクダ,nature,1f42b,,,,,,,,41: :bactrian_camel:
🐱,cat_face,ネコ,nature,1f431,Peether,,,,,,,42: :cat_face:
🐳,spouting_whale,クジラ,nature,1f433,Fred Benenson,,,,,,,43: :spouting_whale:
🐴,horse,ウマ,nature,1f434,,,,,,,,44: :horse:
🐶,dog_face,イヌ,nature,1f436,Unspecial Ando,,,,,,,45: :dog_face:
🐸,frog_face,カエル,nature,1f438,wispfrog,,,,,,,46: :frog_face:
🐺,wolf_face,オオカミ,nature,1f43a,Hans de Wolf,,,,,,,47: :wolf_face:
🐾,paw_prints,足跡(犬),nature,1f43e,patter-app.net,,,,,,,48: :paw_prints:
👊,fisted_hand_sign,パンチ,gesture,1f44a,Jy Yaworski,,,,,,,49: :fisted_hand_sign:
👍,thumbs_up_sign,おやゆびサイン,gesture,1f44d,unki2aut,,,,,,,50: :thumbs_up_sign:
👪,family,家族,people,1f46a,,,,,,,,51: :family:
👫,couple_holding_hands,手をつないだカップル,people,1f46b,,,,,,,,52: :couple_holding_hands:
👬,two_men_holding_hands,手をつないだ二人の男性,people,1f46c,,,,,,,,53: :two_men_holding_hands:
👭,two_women_holding_hands,手をつないだ二人の女性,people,1f46d,,,,,,,,54: :two_women_holding_hands:
👸,princess,お姫様,people,1f478,Kim Baumann Larsen,,,,,,,55: :princess:
👻,ghost,お化け,people,1f47b,Seto Konowa,,,,,,,56: :ghost:
👽,extraterrestrial_alien,宇宙人,people,1f47d,Lloyd Smart,,,,,,,57: :extraterrestrial_alien:
💀,skull,ドクロ,people,1f480,Josh Freeman,,,,,,,58: :skull:
💃,dancer,ダンサー,people,1f483,Daniel 'Crusher' Nersveen,,,,,,,59: :dancer:
💊,pill,薬,object,1f48a,Cynthia McCoy,,,,,,,60: :pill:
💏,couple_kiss,カップルのキス,people,1f48f,,kiss,couple_kissing,,,,,61: :couple_kiss:
💑,couple_with_heart,カップルとハート,people,1f491,,,,,,,,62: :couple_with_heart:
💓,heartbeat,ドキドキしているハート,abstract,1f493,,beating_heart,,,,,,63: :heartbeat:
💩,poop,うんち(顔あり),abstract,1f4a9,,,,,,,,64: :poop:
💬,speech_balloon,フキダシ,abstract,1f4ac,Mike Boers,,,,,,,65: :speech_balloon:
🔞,no_one_under_eighteen_symbol,18禁,abstract,1f51e,Świstak,,,,,,,66: :no_one_under_eighteen_symbol:
🔫,pistol,ピストル,tools,1f52b,,,,,,,,67: :pistol:
🗻,mount_fuji,富士山,nature,1f5fb,Yuki Kodama,,,,,,,68: :mount_fuji:
😀,grinning,にんまり,faces,1f600,,,,,,,,69: :grinning:
😁,grin,うっしっし,faces,1f601,Joonas Pihlajamaa,grinning_face_with_smiling_eyes,,,,,,70: :grin:
😂,face_with_tear_of_joy,泣き笑い,faces,1f602,,,,,,;D,,71: :face_with_tear_of_joy:
😃,smiley,スマイル,faces,1f603,Eric Nikolaisen,smiling_face_with_open_mouth,,,,:),,72: :smiley:
😄,smile,嬉しい顔,faces,1f604,rastilin@gmail.com,smiling_face_with_open_mouth_and_smiling_eyes,,,,,,73: :smile:
😅,sweat_smile,冷や汗,faces,1f605,Damien Goujard,smiling_face_with_open_mouth_and_cold_sweat,,,,,,74: :sweat_smile:
😆,laughing,笑い,faces,1f606,,smiling_face_with_open_mouth_and_tightly_closed_eyes,,,,:D,,75: :laughing:
😉,wink,ウインク,faces,1f609,,winking_face,,,,;),,76: :wink:
😊,blush,にこにこ,faces,1f60a,,smiling_face_with_smiling_eyes,,,,:$,,77: :blush:
😋,face_savouring_delicious_food,うまい,faces,1f60b,Merleawe | Foodie For My Tastebuds,,,,,,,78: :face_savouring_delicious_food:
😌,relieved,ほっとした顔,faces,1f60c,,relieved_face,,,,,,79: :relieved:
😍,heart_eyes,目がハート,faces,1f60d,Michael Day,smiling_face_with_heart_shaped_eyes,,,,,,80: :heart_eyes:
😏,smirk,ふっ,faces,1f60f,,smirk_face,,,,,,81: :smirk:
😑,expressionless,ぼけーっとした顔,faces,1f611,,expressionless_face,,,,,,82: :expressionless:
😒,unamused,横目,faces,1f612,,unamused_face,,,,,,83: :unamused:
😓,sweat,困り顔,faces,1f613,,face_with_cold_sweat,,,,(:|,,84: :sweat:
😔,pensive_face,しょんぼり,faces,1f614,geekahedron,,,,,,,85: :pensive_face:
😕,confused,困る,faces,1f615,,confused_face,,,,:^),,86: :confused:
😗,kissing,チュー,faces,1f617,,kissing_face,,,,:*,,87: :kissing:
😘,kissing_heart,投げキッス,faces,1f618,,face_throwing_a_kiss,,,,,,88: :kissing_heart:
😙,kissing_smiling_eyes,チューしよ,faces,1f619,,kissing_face_with_smiling_eyes,,,,,,89: :kissing_smiling_eyes:
😚,kissing_closed_eyes,チュッ,faces,1f61a,Elena Maureen Martinez,kissing_face_with_closed_eyes,,,,,,90: :kissing_closed_eyes:
😛,stuck_out_tongue,べー,faces,1f61b,Victor Westmann,face_with_stuck_out_tongue,,,,:P,,91: :stuck_out_tongue:
😜,stuck_out_tongue_winking_eye,あっかんべー,faces,1f61c,,face_with_stuck_out_tongue_winking_eye,,,,;P,,92: :stuck_out_tongue_winking_eye:
😝,stuck_out_tongue_closed_eyes,べーっ,faces,1f61d,,face_with_stuck_out_tongue_and_tightly_closed_eye,,,,XP,,93: :stuck_out_tongue_closed_eyes:
😞,disappointed_face,がっかり,faces,1f61e,,,,,,,,94: :disappointed_face:
😟,worried,心配,faces,1f61f,,worried_face,,,,,,95: :worried:
😠,angry_face,怒った顔,faces,1f620,Krysanto,,,,,,,96: :angry_face:
😡,pouting_face,ふくれっ面,faces,1f621,,,,,,,,97: :pouting_face:
😢,crying_face,涙,faces,1f622,mike mg,,,,,:'(,,98: :crying_face:
😣,persevering_face,がまん顔,faces,1f623,,,,,,,,99: :persevering_face:
😤,face_with_look_of_triumph,勝ち誇り,faces,1f624,,,,,,,,100: :face_with_look_of_triumph:
😥,disappointed_but_relieved_face,やれやれ,faces,1f625,,,,,,,,101: :disappointed_but_relieved_face:
